,budget,gross,runtime,score,votes,Year_Released
580,6000000,12414210,113,5.8,2900,1984
581,25000000,38348988,93,5.5,9300,1984
582,35589876,2556800,112,7,5100,1984
583,35589876,7343032,100,6.1,5300,1984
584,10000000,3854833,93,6.4,2300,1984
585,35589876,7828841,130,6.1,2000,1984
586,3000000,727639,84,6.4,3000,1985
587,35589876,2732684,85,4.8,619,1984
588,35589876,8793152,97,5.3,3000,1984
589,9000000,10435015,100,5.8,1600,1984
590,350000,3677209,108,6.8,5700,1984
591,35589876,4994094,102,5.5,2000,1984
592,8000000,10600497,84,7.4,24000,1984
593,18000000,19265302,94,3.8,5600,1984
594,15100000,26080861,118,6,2800,1984
595,12000000,26186631,96,5.5,4600,1984
596,35589876,3739406,89,4.5,2000,1984
597,35589876,5021751,105,6.6,1400,1984
598,35589876,5718573,90,6.3,6800,1984
599,700000,2490233,106,6.8,2600,1984
600,35589876,4561346,105,5.7,1300,1984
601,35589876,15726,101,7.4,4200,1984
602,12000000,19928200,96,6,2600,1984
603,10000000,2773433,91,5.9,1300,1984
604,11000000,4385312,110,6.1,3000,1985
605,35589876,1493782,103,6.4,1500,1984
606,35589876,9640000,105,6.7,1800,1984
607,35589876,3772785,82,4.7,3900,1984
608,35589876,2075282,116,5.8,816,1984
609,9000000,1393501,108,5.2,1400,1984
610,35589876,865915,94,6.3,599,1984
611,7000000,1467396,96,5.4,856,1984
612,35589876,1009700,122,6.3,1800,1984
613,35589876,1689501,93,3.7,446,1984
614,35589876,1142944,93,6.3,866,1984
615,35589876,7889694,94,5.9,807,1984
616,35589876,4239154,95,5.7,634,1984
617,12000000,129268,91,5.2,1200,1984
618,35589876,78500541,187,7.9,2700,1986
619,35589876,1525532,91,6,440,1984
620,6300000,1059966,109,5.8,822,1984
621,35589876,1820049,110,5.7,794,1984
622,35589876,2527088,92,6.5,2600,1985
623,35589876,526805,92,4.5,212,1984
624,35589876,21538850,97,5.4,2400,1984
625,35589876,162364,107,6.3,653,1985
626,35589876,1839623,90,5.2,733,1985
627,35589876,148750,98,5.9,456,1984
628,35589876,200498,106,6.5,586,1984
629,35589876,2411143,90,7.6,2500,1984
630,35589876,1945658,99,6.6,952,1984
631,35589876,343890,103,5.8,262,1986
632,35589876,78500541,93,5.3,241,1984
633,221000,2687148,110,6.1,270,1984
634,35589876,21058033,88,3.8,424,1984
635,35589876,837914,108,5.7,1400,1984
